bash: warning: setlocale: LC_ALL: cannot change locale (en_US.UTF-8)
[TensorBoard] Logging enabled: parallel_experiments/HalfCheetah-v2_20250728_044213/seed_10/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/HalfCheetah-v2_20250728_044213/seed_10/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 6,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'HalfCheetah-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 6000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/HalfCheetah-v2_20250728_044213/seed_10',
    'save_periodic': False,
    'seed': 10,
    'state_dim': 17,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 6000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running HalfCheetah-v2  State_dim: 17  Action_dim: 6
#Games: 11 #Frames: 11000  Train_Max: 67.03  Test_Score: 54.41  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -330.32  PG Loss: -2.8526

#Games: 22 #Frames: 22000  Train_Max: 48.36  Test_Score: 55.70  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -10.20  PG Loss: -6.8677

#Games: 33 #Frames: 33000  Train_Max: 700.59  Test_Score: 714.45  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -73.25  PG Loss: -12.2079

#Games: 44 #Frames: 44000  Train_Max: 713.75  Test_Score: 704.59  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: -227.67  PG Loss: -18.5323

#Games: 55 #Frames: 55000  Train_Max: 719.85  Test_Score: 713.61  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1018.47  PG Loss: -26.0636

#Games: 66 #Frames: 66000  Train_Max: 709.08  Test_Score: 712.61  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1300.99  PG Loss: -33.0666

#Games: 77 #Frames: 77000  Train_Max: 709.40  Test_Score: 709.64  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1356.51  PG Loss: -41.1254

#Games: 88 #Frames: 88000  Train_Max: 716.14  Test_Score: 732.96  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1745.72  PG Loss: -50.5001

#Games: 99 #Frames: 99000  Train_Max: 863.85  Test_Score: 850.67  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 1635.00  PG Loss: -59.9924

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 926.15  Test_Score: 909.42  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2024.80  PG Loss: -70.1463

#Games: 121 #Frames: 121000  Train_Max: 2034.63  Test_Score: 1949.79  Avg: 0.00  ENV:  HalfCheetah-v2  DDPG Reward: 2271.21  PG Loss: -80.9236

