[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_3/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_3/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'Swimmer-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Swimmer-v2_20250725_044206/seed_3',
    'save_periodic': False,
    'seed': 3,
    'state_dim': 8,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Swimmer-v2  State_dim: 8  Action_dim: 2
#Games: 11 #Frames: 11000  Train_Max: 17.81  Test_Score: 18.35  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 37.51  PG Loss: -2.2468

#Games: 22 #Frames: 22000  Train_Max: 42.51  Test_Score: 44.17  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 16.01  PG Loss: -9.2816

#Games: 33 #Frames: 33000  Train_Max: 56.44  Test_Score: 35.64  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 33.83  PG Loss: -16.5623

#Games: 44 #Frames: 44000  Train_Max: 70.37  Test_Score: 45.39  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 48.87  PG Loss: -22.3872

#Games: 55 #Frames: 55000  Train_Max: 61.68  Test_Score: 58.73  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 30.80  PG Loss: -27.3724

#Games: 66 #Frames: 66000  Train_Max: 59.28  Test_Score: 60.45  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -1.20  PG Loss: -30.9315

#Games: 77 #Frames: 77000  Train_Max: 80.74  Test_Score: 80.41  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -2.12  PG Loss: -34.8969

#Games: 88 #Frames: 88000  Train_Max: 79.25  Test_Score: 82.04  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -1.34  PG Loss: -38.3169

#Games: 99 #Frames: 99000  Train_Max: 83.60  Test_Score: 84.40  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -7.09  PG Loss: -40.4087

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 119.94  Test_Score: 121.19  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -6.00  PG Loss: -41.7756

#Games: 121 #Frames: 121000  Train_Max: 120.92  Test_Score: 121.15  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 37.16  PG Loss: -41.7969

#Games: 132 #Frames: 132000  Train_Max: 122.56  Test_Score: 120.59  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 16.19  PG Loss: -41.9914

