[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_10/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_10/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'Swimmer-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Swimmer-v2_20250725_044206/seed_10',
    'save_periodic': False,
    'seed': 10,
    'state_dim': 8,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Swimmer-v2  State_dim: 8  Action_dim: 2
#Games: 11 #Frames: 11000  Train_Max: 35.02  Test_Score: 35.56  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 20.43  PG Loss: -2.1939

#Games: 22 #Frames: 22000  Train_Max: 37.32  Test_Score: 38.00  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 20.21  PG Loss: -8.5187

#Games: 33 #Frames: 33000  Train_Max: 33.32  Test_Score: 35.49  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 34.47  PG Loss: -14.0705

#Games: 44 #Frames: 44000  Train_Max: 116.02  Test_Score: 115.43  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 39.43  PG Loss: -16.7098

#Games: 55 #Frames: 55000  Train_Max: 119.07  Test_Score: 114.49  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 15.94  PG Loss: -21.2832

#Games: 66 #Frames: 66000  Train_Max: 110.46  Test_Score: 119.01  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 27.56  PG Loss: -24.1201

#Games: 77 #Frames: 77000  Train_Max: 115.92  Test_Score: 115.74  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 29.68  PG Loss: -26.2711

#Games: 88 #Frames: 88000  Train_Max: 124.03  Test_Score: 117.44  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 20.58  PG Loss: -29.1027

#Games: 99 #Frames: 99000  Train_Max: 116.68  Test_Score: 114.94  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 17.56  PG Loss: -33.5269

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 117.41  Test_Score: 117.53  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: -20.24  PG Loss: -35.9399

#Games: 121 #Frames: 121000  Train_Max: 129.38  Test_Score: 122.94  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 20.14  PG Loss: -36.9562

#Games: 132 #Frames: 132000  Train_Max: 127.27  Test_Score: 123.40  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 35.15  PG Loss: -37.6386

