[TensorBoard] Logging enabled: parallel_experiments/Swimmer-v2_20250725_044206/seed_100/tensorboard_logs
[INFO] View training progress: tensorboard --logdir parallel_experiments/Swimmer-v2_20250725_044206/seed_100/tensorboard_logs
[TensorBoard] Using TensorBoard for training logging
{   'action_dim': 2,
    'alpha': 0.7,
    'batch_size': 128,
    'beta_zero': 0.5,
    'buffer_size': 1000000,
    'crossover_prob': 0.0,
    'device': device(type='cuda'),
    'distil': False,
    'distil_type': 'fitness',
    'elite_fraction': 0.1,
    'env_name': 'Swimmer-v2',
    'frac_frames_train': 1.0,
    'gamma': 0.99,
    'individual_bs': 8000,
    'learn_start': 15627.0,
    'log_freq': 10,
    'log_weights': False,
    'ls': 128,
    'mutation_batch_size': 256,
    'mutation_mag': 0.05,
    'mutation_noise': False,
    'mutation_prob': 0.9,
    'next_save': 200,
    'ns': False,
    'ns_epochs': 10,
    'num_evals': 1,
    'num_frames': 2000000,
    'opstat': False,
    'opstat_freq': 1,
    'per': False,
    'pop_size': 10,
    'proximal_mut': False,
    'render': False,
    'replace_old': True,
    'rl_to_ea_synch_period': 10,
    'save_foldername': 'parallel_experiments/Swimmer-v2_20250725_044206/seed_100',
    'save_periodic': False,
    'seed': 100,
    'state_dim': 8,
    'tau': 0.001,
    'tensorboard_dir': None,
    'test_operators': False,
    'total_steps': 2000000,
    'use_done_mask': True,
    'use_ln': True,
    'use_tensorboard': True,
    'verbose_crossover': False,
    'verbose_mut': False}
Running Swimmer-v2  State_dim: 8  Action_dim: 2
#Games: 11 #Frames: 11000  Train_Max: 37.82  Test_Score: 37.96  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 20.28  PG Loss: -1.5175

#Games: 22 #Frames: 22000  Train_Max: 53.23  Test_Score: 53.75  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 4.18  PG Loss: -6.3536

#Games: 33 #Frames: 33000  Train_Max: 73.51  Test_Score: 75.09  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 20.53  PG Loss: -12.8831

#Games: 44 #Frames: 44000  Train_Max: 78.80  Test_Score: 77.29  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 18.08  PG Loss: -17.8444

#Games: 55 #Frames: 55000  Train_Max: 63.54  Test_Score: 51.79  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 24.10  PG Loss: -21.9117

#Games: 66 #Frames: 66000  Train_Max: 87.08  Test_Score: 87.95  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 25.78  PG Loss: -25.1869

#Games: 77 #Frames: 77000  Train_Max: 104.43  Test_Score: 109.77  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 15.02  PG Loss: -27.1337

#Games: 88 #Frames: 88000  Train_Max: 118.43  Test_Score: 112.26  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 6.36  PG Loss: -30.2509

#Games: 99 #Frames: 99000  Train_Max: 129.14  Test_Score: 130.79  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 23.54  PG Loss: -32.6534

Sync from RL --> Nevo
#Games: 110 #Frames: 110000  Train_Max: 129.27  Test_Score: 126.17  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 77.47  PG Loss: -34.0089

#Games: 121 #Frames: 121000  Train_Max: 132.88  Test_Score: 131.57  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 39.02  PG Loss: -34.1627

#Games: 132 #Frames: 132000  Train_Max: 132.65  Test_Score: 127.83  Avg: 0.00  ENV:  Swimmer-v2  DDPG Reward: 34.45  PG Loss: -34.8179

