44.000,0.000
88.000,0.000
132.000,0.000
176.000,0.000
220.000,0.000
264.000,0.000
308.000,0.000
352.000,0.000
396.000,0.000
440.000,0.000
484.000,0.000
528.000,0.000
572.000,0.000
616.000,0.000
660.000,0.000
704.000,0.000
748.000,0.000
792.000,0.000
836.000,0.000
880.000,0.000
924.000,0.000
968.000,0.000
1012.000,0.000
1056.000,0.000
1100.000,0.000
1144.000,0.000
1188.000,0.000
1232.000,0.000
1276.000,0.000
1320.000,0.000
1364.000,0.000
1408.000,0.000
1452.000,0.000
1496.000,0.000
1540.000,0.000
1584.000,0.000
1628.000,0.000
1672.000,0.000
1716.000,0.000
1760.000,0.000
1804.000,0.000
1848.000,0.000
1892.000,0.000
1936.000,0.000
1980.000,0.000
